PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME	jobid	dvdw
P08631	Q8N5V2	1	0	Dom_dom_model	1zuy	-	A	-	29.2	8.7	85	130	SH3_1	B	-	27.1	6.3	621	665	SH3_1	P08631-Q8N5V2-MDD-SH3_1-SH3_1-1zuy-A-5-53-B-5-53.pdb	m2688	-29.4071341
P08631	Q92569	1	0	Model	2h46	2	E	2	36.0	16.9	139	227	-	E	7	37.0	19.5	358	447	-	P08631-Q92569-MDL-2h46.pdb2-E-2-E-7.pdb	m2689	-130.903764
P08631	Q9ULH1	1	0	Dom_dom_model	3fj5	-	B	-	50.0	8.9	84	130	SH3_1	A	-	24.5	4.2	1074	1121	SH3_1	P08631-Q9ULH1-MDD-SH3_1-SH3_1-3fj5-B-87-134-A-87-134.pdb	m2690	-151.774254
P08637	P12314	1	0	Model	1fcg	1	A	0	51.5	65.7	24	190	-	A	1	46.4	44.4	21	186	-	P08637-P12314-MDL-1fcg.pdb1-A-0-A-1.pdb	m2691	-56.2887917
P08670	P14136	1	0	Model	6a9p	1	A	0	61.2	22.1	144	246	-	B	0	100.0	23.8	110	212	-	P08670-P14136-MDL-6a9p.pdb1-A-0-B-0.pdb	m2692	-210.690063
P08670	P17661	1	0	Model	3uf1	1	B	0	97.2	22.7	144	249	-	A	0	69.2	22.1	151	254	-	P08670-P17661-MDL-3uf1.pdb1-B-0-A-0.pdb	m2693	-240.159003
P08670	P17661	2	0	Model	3uf1	1	A	0	97.1	22.3	146	249	-	B	0	68.9	22.6	149	254	-	P08670-P17661-MDL-3uf1.pdb1-A-0-B-0.pdb	m2694	-239.985526
P08670	P35900	1	0	Model	3s4r	1	A	0	98.9	18.9	102	189	-	B	0	35.6	21.2	69	158	-	P08670-P35900-MDL-3s4r.pdb1-A-0-B-0.pdb	m2695	-85.2993028
P08670	P35900	2	0	Model	3tnu	2	B	0	41.5	20.2	313	406	-	A	0	71.1	21.2	287	376	-	P08670-P35900-MDL-3tnu.pdb2-B-0-A-0.pdb	m2696	-206.610151
P08670	P41219	1	0	Model	3uf1	2	D	0	97.1	22.5	144	248	-	C	0	55.3	21.9	138	240	-	P08670-P41219-MDL-3uf1.pdb2-D-0-C-0.pdb	m2697	-213.535927
P08670	P41219	3	0	Model	3uf1	1	B	0	97.2	22.7	144	249	-	A	0	57.0	18.3	158	243	-	P08670-P41219-MDL-3uf1.pdb1-B-0-A-0.pdb	m2698	-184.04768
P08670	P48681	1	0	Dom_dom_model	3uf1	-	D	-	93.6	23.0	142	248	Filament	C	-	31.8	6.5	47	152	Filament	P08670-P48681-MDD-Filament-Filament-3uf1-D-137-248-C-138-246.pdb	m2699	-191.533576
P08727	P08727	1	0	Model	4zry	1	B	1	31.1	25.8	285	387	-	A	1	58.2	27.5	278	387	-	P08727-P08727-MDL-4zry.pdb1-B-1-A-1.pdb	m2700	-204.15036
P08727	P12035	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	74.0	16.6	406	509	-	P08727-P12035-MDL-4zry.pdb1-A-1-B-1.pdb	m2701	-202.987155
P08727	P13647	1	0	Model	3tnu	2	A	0	63.3	22.5	297	386	-	B	0	100.0	16.1	382	476	-	P08727-P13647-MDL-3tnu.pdb2-A-0-B-0.pdb	m2702	-209.935127
P08727	P14136	1	0	Model	6a9p	2	C	0	38.8	24.0	130	225	-	D	0	100.0	23.8	110	212	-	P08727-P14136-MDL-6a9p.pdb2-C-0-D-0.pdb	m2703	-226.309748
P08727	P19012	2	0	Model	4zry	1	A	0	58.2	27.5	278	387	-	A	1	61.8	24.1	304	413	-	P08727-P19012-MDL-4zry.pdb1-A-0-A-1.pdb	m2704	-12.431291
P08727	P19013	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	71.2	19.5	357	460	-	P08727-P19013-MDL-4zry.pdb1-A-1-B-1.pdb	m2705	-208.47687
P08727	P35908	1	0	Model	4zry	1	A	0	58.2	27.5	278	387	-	B	0	80.8	16.3	384	487	-	P08727-P35908-MDL-4zry.pdb1-A-0-B-0.pdb	m2706	-187.983966
P08727	P41219	1	0	Model	4zry	1	A	0	58.2	27.5	278	387	-	B	0	41.3	22.1	300	403	-	P08727-P41219-MDL-4zry.pdb1-A-0-B-0.pdb	m2707	-195.531935
P08727	P48668	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	76.9	18.4	369	472	-	P08727-P48668-MDL-4zry.pdb1-A-1-B-1.pdb	m2708	-193.641838
P08727	P78385	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	59.6	21.1	315	418	-	P08727-P78385-MDL-4zry.pdb1-A-1-B-1.pdb	m2709	-190.71651
P08727	P78386	1	0	Model	4zry	1	A	0	58.2	27.5	278	387	-	B	0	60.6	20.5	327	430	-	P08727-P78386-MDL-4zry.pdb1-A-0-B-0.pdb	m2710	-194.738282
P08727	Q14533	1	0	Model	4zry	1	A	0	58.2	27.5	278	387	-	B	0	59.6	20.6	310	413	-	P08727-Q14533-MDL-4zry.pdb1-A-0-B-0.pdb	m2711	-190.62413
P08727	Q14CN4	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	67.3	20.4	331	434	-	P08727-Q14CN4-MDL-4zry.pdb1-A-1-B-1.pdb	m2712	-191.666616
P08727	Q3SY84	1	0	Model	4zry	1	A	0	58.2	27.5	278	387	-	B	0	72.1	19.9	336	439	-	P08727-Q3SY84-MDL-4zry.pdb1-A-0-B-0.pdb	m2713	-181.41213
P08727	Q5XKE5	1	0	Model	4zry	2	A	0	58.2	27.5	278	387	-	B	0	68.3	19.4	350	453	-	P08727-Q5XKE5-MDL-4zry.pdb2-A-0-B-0.pdb	m2714	-191.312674
P08727	Q6KB66	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	59.2	22.8	288	390	-	P08727-Q6KB66-MDL-4zry.pdb1-A-1-B-1.pdb	m2715	-195.918121
P08727	Q7RTS7	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	67.3	19.7	346	449	-	P08727-Q7RTS7-MDL-4zry.pdb1-A-1-B-1.pdb	m2716	-180.186601
P08727	Q7Z794	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	69.2	18.0	370	473	-	P08727-Q7Z794-MDL-4zry.pdb1-A-1-B-1.pdb	m2717	-192.806557
P08727	Q8N1N4	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	61.2	19.8	318	420	-	P08727-Q8N1N4-MDL-4zry.pdb1-A-1-B-1.pdb	m2718	-172.863197
P08754	P49795	1	0	Model	2ode	1	A	0	100.0	89.3	33	348	-	B	0	48.8	59.4	80	208	-	P08754-P49795-MDL-2ode.pdb1-A-0-B-0.pdb	m2719	-66.9018603
P08754	P49795	2	0	Model	1agr	1	A	0	94.0	98.9	5	354	-	E	0	45.5	56.7	80	202	-	P08754-P49795-MDL-1agr.pdb1-A-0-E-0.pdb	m2720	-61.8408263
P08754	Q8IVA1	1	0	Dom_dom_model	4g5s	-	B	-	93.1	87.9	33	343	G-alpha	F	-	45.0	14.7	65	84	GoLoco	P08754-Q8IVA1-MDD-G-alpha-GoLoco-4g5s-B-32-343-F-589-609.pdb	m2721	-120.06069
P08754	Q9UGC6	1	0	Model	1agr	1	A	0	94.0	98.9	5	354	-	E	0	41.3	57.6	76	196	-	P08754-Q9UGC6-MDL-1agr.pdb1-A-0-E-0.pdb	m2722	-63.9229164
P08754	Q9UGC6	2	0	Model	2v4z	1	A	0	100.0	89.3	32	347	-	B	0	41.6	59.5	73	197	-	P08754-Q9UGC6-MDL-2v4z.pdb1-A-0-B-0.pdb	m2723	-63.8273537
P08754	Q9Y4H4	1	0	Dom_dom_model	4g5r	-	A	-	93.7	87.9	33	343	G-alpha	E	-	40.9	12.5	134	154	GoLoco	P08754-Q9Y4H4-MDD-G-alpha-GoLoco-4g5r-A-32-343-E-623-643.pdb	m2724	-94.735136
P08779	P12035	1	0	Model	3tnu	1	A	0	90.0	19.0	334	423	-	B	0	78.9	15.1	414	508	-	P08779-P12035-MDL-3tnu.pdb1-A-0-B-0.pdb	m2725	-198.269792
P08779	P13647	1	0	Model	3tnu	2	A	0	90.0	19.0	334	423	-	B	0	100.0	16.1	382	476	-	P08779-P13647-MDL-3tnu.pdb2-A-0-B-0.pdb	m2726	-210.323908
P08779	P19013	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	74.7	17.8	365	459	-	P08779-P19013-MDL-3tnu.pdb1-A-1-B-1.pdb	m2727	-190.365528
P08779	P35908	1	0	Model	3tnu	2	A	0	90.0	19.0	334	423	-	B	0	80.9	14.7	393	486	-	P08779-P35908-MDL-3tnu.pdb2-A-0-B-0.pdb	m2728	-205.240744
P08779	P41219	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	46.8	20.0	309	402	-	P08779-P41219-MDL-3tnu.pdb1-A-1-B-1.pdb	m2729	-201.754602
P08779	P48668	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	84.2	16.8	377	471	-	P08779-P48668-MDL-3tnu.pdb1-A-1-B-1.pdb	m2730	-213.757464
P08779	P78385	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	70.5	19.3	323	417	-	P08779-P78385-MDL-3tnu.pdb1-A-1-B-1.pdb	m2731	-197.767222
P08779	P78386	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	73.7	18.7	335	429	-	P08779-P78386-MDL-3tnu.pdb1-A-1-B-1.pdb	m2732	-200.843351
P08779	Q01546	1	0	Model	3tnu	1	A	0	90.0	19.0	334	423	-	B	0	81.1	14.9	397	491	-	P08779-Q01546-MDL-3tnu.pdb1-A-0-B-0.pdb	m2733	-192.854214
P08779	Q14533	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	70.5	18.8	318	412	-	P08779-Q14533-MDL-3tnu.pdb1-A-1-B-1.pdb	m2734	-203.147984
P08779	Q14CN4	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	74.5	18.4	339	432	-	P08779-Q14CN4-MDL-3tnu.pdb1-A-1-B-1.pdb	m2735	-199.334849
P08779	Q3SY84	1	0	Model	3tnu	1	A	0	90.0	19.0	334	423	-	B	0	73.4	18.0	344	437	-	P08779-Q3SY84-MDL-3tnu.pdb1-A-0-B-0.pdb	m2736	-196.906768
P08779	Q5XKE5	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	71.3	17.6	358	451	-	P08779-Q5XKE5-MDL-3tnu.pdb1-A-1-B-1.pdb	m2737	-199.709452
P08779	Q6KB66	1	0	Model	3tnu	1	A	0	90.0	19.0	334	423	-	B	0	62.1	21.0	295	389	-	P08779-Q6KB66-MDL-3tnu.pdb1-A-0-B-0.pdb	m2738	-194.594482
P08779	Q7RTS7	1	0	Model	3tnu	1	A	0	90.0	19.0	334	423	-	B	0	70.5	18.0	354	448	-	P08779-Q7RTS7-MDL-3tnu.pdb1-A-0-B-0.pdb	m2739	-203.249206
P08779	Q86Y46	1	0	Model	3tnu	1	A	0	90.0	19.0	334	423	-	B	0	74.7	17.6	346	440	-	P08779-Q86Y46-MDL-3tnu.pdb1-A-0-B-0.pdb	m2740	-203.429693
P08779	Q8N1N4	1	0	Model	3tnu	1	A	1	90.0	19.0	334	423	-	B	1	67.4	18.3	325	419	-	P08779-Q8N1N4-MDL-3tnu.pdb1-A-1-B-1.pdb	m2741	-203.078141
P09012	P09661	1	0	Model	6f4j	1	C	0	81.3	32.3	8	98	-	A	0	61.1	68.6	1	175	-	P09012-P09661-MDL-6f4j.pdb1-C-0-A-0.pdb	m2742	-68.4972122
P09012	P09661	3	0	Model	1a9n	1	B	0	76.3	33.0	7	99	-	A	0	98.8	63.5	2	163	-	P09012-P09661-MDL-1a9n.pdb1-B-0-A-0.pdb	m2743	-68.9161949
P09012	P0DJD3	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	29.6	13.9	10	78	RRM_1	P09012-P0DJD3-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2744	-34.9246541
P09012	P26368	1	0	Dom_dom_model	5im0	-	A	-	17.4	22.0	211	272	RRM_1	B	-	26.1	14.3	262	330	RRM_1	P09012-P26368-MDD-RRM_1-RRM_1-5im0-A-81-153-B-81-153.pdb	m2745	-9.34625272
P09012	P26599	1	0	Dom_dom_model	6gd1	-	A	-	21.4	22.3	210	272	RRM_1	B	-	24.3	12.1	186	249	RRM_1	P09012-P26599-MDD-RRM_1-RRM_1-6gd1-A-116-186-B-116-186.pdb	m2746	-50.5117411
P09012	P38159	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	27.8	17.6	10	79	RRM_1	P09012-P38159-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2747	-44.8983686
P09012	P98179	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	27.8	43.9	8	77	RRM_1	P09012-P98179-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2748	-53.2487478
P09012	Q01085	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	27.8	18.4	99	168	RRM_1	P09012-Q01085-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2749	-45.0995394
P09012	Q14011	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	26.4	40.1	8	77	RRM_1	P09012-Q14011-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2750	-32.364587
P09012	Q15287	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	21.9	22.0	165	233	RRM_1	P09012-Q15287-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2751	-39.7071496
P09012	Q15415	1	0	Model	5fj4	2	E	0	97.9	34.4	6	102	-	F	0	31.7	15.7	10	87	-	P09012-Q15415-MDL-5fj4.pdb2-E-0-F-0.pdb	m2752	-39.4361933
P09012	Q6ZRY4	1	0	Dom_dom_model	3jb9	-	a	-	25.0	14.2	223	262	RRM_1	Y	-	20.0	29.2	33	93	RRM_1	P09012-Q6ZRY4-MDD-RRM_1-RRM_1-3jb9-a-180-272-Y-176-244.pdb	m2753	-26.1757352
P09012	Q96EP5	1	0	Dom_dom_model	5im0	-	A	-	17.4	22.0	211	272	RRM_1	B	-	34.8	16.5	116	183	RRM_1	P09012-Q96EP5-MDD-RRM_1-RRM_1-5im0-A-81-153-B-81-153.pdb	m2754	-19.1953199
P09012	Q9BQ04	1	0	Dom_dom_model	6fqr	-	A	-	23.9	22.3	210	272	RRM_1	B	-	23.5	16.4	6	64	RRM_1	P09012-Q9BQ04-MDD-RRM_1-RRM_1-6fqr-A-4-69-B-83-150.pdb	m2755	-28.6460613
P09012	Q9BTD8	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	19.4	14.4	383	452	RRM_1	P09012-Q9BTD8-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb	m2756	-32.1089328
P09012	Q9UKA9	1	0	Dom_dom_model	5wpa	-	A	-	21.4	22.3	210	272	RRM_1	B	-	21.1	12.2	340	405	RRM_1	P09012-Q9UKA9-MDD-RRM_1-RRM_1-5wpa-A-299-363-B-84-148.pdb	m2757	-15.2393335
P09016	Q92826	1	0	Dom_dom_model	4zn8	-	A	-	34.8	18.0	159	204	Homeodomain	B	-	31.8	15.5	223	266	Homeodomain	P09016-Q92826-MDD-Homeodomain-Homeodomain-4zn8-A-1-50-B-2-50.pdb	m2758	-70.2077455
P09016	Q9BYU1	1	0	Model	2r5z	1	A	0	69.0	34.1	128	214	-	B	0	88.1	15.8	214	272	-	P09016-Q9BYU1-MDL-2r5z.pdb1-A-0-B-0.pdb	m2759	-42.0780075
P09067	P40424	1	0	Model	2r5z	1	A	0	74.1	30.1	174	254	-	B	0	94.9	13.7	237	295	-	P09067-P40424-MDL-2r5z.pdb1-A-0-B-0.pdb	m2760	-37.0911395
P09067	P40425	1	0	Model	2r5z	1	A	0	74.1	30.1	174	254	-	B	0	94.9	13.7	248	306	-	P09067-P40425-MDL-2r5z.pdb1-A-0-B-0.pdb	m2761	-31.4829924
P09067	Q9BYU1	1	0	Model	2r5z	1	A	0	74.1	30.1	174	254	-	B	0	88.1	15.8	214	272	-	P09067-Q9BYU1-MDL-2r5z.pdb1-A-0-B-0.pdb	m2762	-36.4127026
P09086	P35548	1	0	Dom_dom_model	3nau	-	B	-	26.0	10.4	305	354	Homeodomain	A	-	28.0	18.7	150	199	Homeodomain	P09086-P35548-MDD-Homeodomain-Homeodomain-3nau-B-446-496-A-446-496.pdb	m2763	-102.376115
P09105	P68871	1	0	Model	1aj9	1	A	0	62.9	98.6	3	142	-	B	1	100.0	99.3	2	147	-	P09105-P68871-MDL-1aj9.pdb1-A-0-B-1.pdb	m2764	-46.859569
P09105	P69892	1	0	Model	1fdh	1	B	0	62.1	98.6	3	142	-	G	0	100.0	99.3	2	147	-	P09105-P69892-MDL-1fdh.pdb1-B-0-G-0.pdb	m2765	-52.9635024
P09105	P69905	1	0	Model	1bab	1	A	0	62.0	100.0	1	142	-	C	0	99.3	100.0	1	142	-	P09105-P69905-MDL-1bab.pdb1-A-0-C-0.pdb	m2766	-13.6697788
P09105	P69905	2	0	Model	1bz1	1	A	0	62.0	100.0	1	142	-	C	0	100.0	100.0	1	142	-	P09105-P69905-MDL-1bz1.pdb1-A-0-C-0.pdb	m2767	-7.1706954
P09210	Q7RTV2	1	0	Model	2vct	3	F	0	99.5	99.5	2	222	-	E	0	88.7	99.5	2	222	-	P09210-Q7RTV2-MDL-2vct.pdb3-F-0-E-0.pdb	m2768	-152.152783
P09326	Q9BZW8	1	0	Model	2ptt	1	A	0	48.6	42.8	28	131	-	B	0	42.7	28.4	22	126	-	P09326-Q9BZW8-MDL-2ptt.pdb1-A-0-B-0.pdb	m2769	-41.7047804
P09327	P09327	1	0	Model	1d0n	2	B	3	51.2	85.1	17	720	-	A	3	51.2	85.1	17	720	-	P09327-P09327-MDL-1d0n.pdb2-B-3-A-3.pdb	m2770	-86.9764684
P09341	P42830	1	0	Model	3n52	3	B	0	65.7	65.4	37	106	-	D	0	52.9	61.4	41	110	-	P09341-P42830-MDL-3n52.pdb3-B-0-D-0.pdb	m2771	-39.9265123
P09341	P51671	1	0	Dom_dom_model	1qnk	-	B	-	90.0	54.2	42	100	IL8	A	-	21.7	59.8	31	88	IL8	P09341-P51671-MDD-IL8-IL8-1qnk-B-7-66-A-7-66.pdb	m2772	-27.5184444
P09341	P80162	1	0	Model	3n52	3	B	0	65.7	65.4	37	106	-	D	0	54.3	61.4	41	110	-	P09341-P80162-MDL-3n52.pdb3-B-0-D-0.pdb	m2773	-45.3377162
P09471	P18545	1	0	Model	1fqj	1	A	0	67.7	89.5	32	348	-	C	0	100.0	43.7	50	87	-	P09471-P18545-MDL-1fqj.pdb1-A-0-C-0.pdb	m2774	-64.5723874
P09471	P49795	1	0	Model	1agr	1	A	0	72.4	98.9	5	354	-	E	0	45.5	56.7	80	202	-	P09471-P49795-MDL-1agr.pdb1-A-0-E-0.pdb	m2775	-63.2573109
P09471	Q08116	1	0	Model	2gtp	2	B	0	73.4	89.5	32	348	-	C	0	100.0	63.2	73	204	-	P09471-Q08116-MDL-2gtp.pdb2-B-0-C-0.pdb	m2776	-78.7053099
P09471	Q13956	1	0	Model	1fqj	1	A	0	67.7	89.5	32	348	-	C	0	94.7	45.8	46	83	-	P09471-Q13956-MDL-1fqj.pdb1-A-0-C-0.pdb	m2777	-67.6103793
P09488	P21266	1	0	Model	3gtu	3	C	1	84.3	99.5	2	218	-	D	1	100.0	99.6	2	225	-	P09488-P21266-MDL-3gtu.pdb3-C-1-D-1.pdb	m2778	-102.463187
P09493	P13805	1	0	Model	2w4u	1	U	0	99.6	97.5	8	284	-	1	0	46.6	37.1	161	263	-	P09493-P13805-MDL-2w4u.pdb1-U-0-1-0.pdb	m2779	-5.68155552
P09493	P67936	2	0	Model	2b9c	1	B	0	90.2	46.8	93	225	-	A	0	89.2	44.8	62	172	-	P09493-P67936-MDL-2b9c.pdb1-B-0-A-0.pdb	m2780	-184.221002
P09493	P67936	3	0	Model	2d3e	1	A	0	99.1	37.7	176	282	-	C	0	68.6	47.6	128	245	-	P09493-P67936-MDL-2d3e.pdb1-A-0-C-0.pdb	m2781	-12.9738667
P09493	P68032	1	0	Model	2w49	1	U	0	99.6	97.5	8	284	-	N	0	98.9	98.7	3	374	-	P09493-P68032-MDL-2w49.pdb1-U-0-N-0.pdb	m2782	-8.54596635
P09619	P14778	1	0	Dom_dom_model	4yh7	-	A	-	13.3	6.4	217	293	Ig_3	B	-	31.4	6.5	71	107	Ig_6	P09619-P14778-MDD-Ig_3-Ig_6-4yh7-A-242-313-B-92-143.pdb	m2783	-22.5715703
P09619	P16234	1	0	Model	4hvs	2	A	1	48.4	36.6	560	964	-	A	0	50.9	36.6	553	951	-	P09619-P16234-MDL-4hvs.pdb2-A-1-A-0.pdb	m2784	-54.6608349
P09619	P35968	1	0	Model	4hvs	2	A	0	48.4	36.6	560	964	-	A	1	50.6	25.2	819	1160	-	P09619-P35968-MDL-4hvs.pdb2-A-0-A-1.pdb	m2785	-44.660745
P09619	P35968	3	0	Model	4r7h	2	A	0	48.2	36.2	560	959	-	A	1	46.7	25.9	819	1169	-	P09619-P35968-MDL-4r7h.pdb2-A-0-A-1.pdb	m2786	-193.885137
P09619	P42229	1	0	Dom_dom_model	3gqi	-	A	-	37.7	23.1	601	956	Pkinase_Tyr	B	-	17.4	9.2	595	669	SH2	P09619-P42229-MDD-Pkinase_Tyr-SH2-3gqi-A-478-752-B-550-639.pdb	m2787	-103.554771
P09619	Q15262	1	0	Dom_dom_model	5fm5	-	P	-	18.9	7.0	221	302	I-set	N	-	17.2	5.0	504	582	fn3	P09619-Q15262-MDD-I-set-fn3-5fm5-P-247-336-N-511-596.pdb	m2788	-39.1363351
P09619	Q92569	1	0	Model	1h9o	1	B	0	100.0	0.5	751	755	-	A	0	80.2	23.0	350	455	-	P09619-Q92569-MDL-1h9o.pdb1-B-0-A-0.pdb	m2789	-26.566385
P09619	Q92569	2	0	Model	2iui	2	D	0	90.9	1.0	748	758	-	B	0	86.4	23.9	55	164	-	P09619-Q92569-MDL-2iui.pdb2-D-0-B-0.pdb	m2790	-39.7564559
P09619	Q9NRA1	1	0	Dom_dom_model	2x1w	-	M	-	22.0	6.5	217	294	Ig_3	B	-	23.6	23.5	250	337	PDGF	P09619-Q9NRA1-MDD-Ig_3-PDGF-2x1w-M-225-311-B-131-211.pdb	m2791	-24.5185344
P09651	P22626	2	0	Model	6dcl	1	A	0	100.0	48.9	7	188	-	B	0	77.8	49.9	15	190	-	P09651-P22626-MDL-6dcl.pdb1-A-0-B-0.pdb	m2792	-57.8013615
P09651	P22626	3	0	Model	6dcl	1	B	0	97.2	47.3	8	183	-	A	0	80.4	50.7	15	193	-	P09651-P22626-MDL-6dcl.pdb1-B-0-A-0.pdb	m2793	-54.7544369
P09651	P31942	1	0	Dom_dom_model	5kwq	-	B	-	19.7	17.2	16	80	RRM_1	A	-	18.2	18.2	19	82	RRM_1	P09651-P31942-MDD-RRM_1-RRM_1-5kwq-B-114-186-A-114-186.pdb	m2794	-3.1614477
P09651	P51991	2	0	Model	6dcl	1	A	0	100.0	48.9	7	188	-	B	0	86.4	46.6	29	204	-	P09651-P51991-MDL-6dcl.pdb1-A-0-B-0.pdb	m2795	-49.5850637
P09651	P51991	3	0	Model	6dcl	1	B	0	97.2	47.3	8	183	-	A	0	88.5	48.1	28	209	-	P09651-P51991-MDL-6dcl.pdb1-B-0-A-0.pdb	m2796	-46.3064699
P09651	P62995	1	0	Model	5im0	1	A	0	48.0	20.2	15	89	-	B	0	42.3	23.3	124	190	-	P09651-P62995-MDL-5im0.pdb1-A-0-B-0.pdb	m2797	-2.89573437
P09651	Q86U42	1	0	Dom_dom_model	5ifm	-	J	-	25.4	17.7	16	82	RRM_1	I	-	28.2	22.5	174	243	RRM_1	P09651-Q86U42-MDD-RRM_1-RRM_1-5ifm-J-76-140-I-76-140.pdb	m2798	-1.81670797
P09651	Q9Y3C6	1	0	Dom_dom_model	6ff4	-	P	-	26.8	17.7	16	82	RRM_1	V	-	93.6	88.6	14	162	Pro_isomerase	P09651-Q9Y3C6-MDD-RRM_1-Pro_isomerase-6ff4-P-234-299-V-13-163.pdb	m2799	-16.4928064
P09769	P10721	1	0	Model	3g0f	1	A	1	38.9	48.8	256	513	-	B	1	79.6	37.6	564	930	-	P09769-P10721-MDL-3g0f.pdb1-A-1-B-1.pdb	m2800	-72.854353
P09769	P43405	3	0	Model	3d7u	1	B	0	74.9	52.0	253	527	-	A	0	41.8	38.6	375	619	-	P09769-P43405-MDL-3d7u.pdb1-B-0-A-0.pdb	m2801	-36.9054332
P09769	Q8IZP0	1	0	Model	2drm	1	B	0	41.5	10.0	84	136	-	A	0	46.3	10.6	450	503	-	P09769-Q8IZP0-MDL-2drm.pdb1-B-0-A-0.pdb	m2802	-14.1770533
P09871	P0C0L4	1	0	Model	5jpm	1	I	0	37.4	18.6	300	427	-	C	0	100.0	16.5	1458	1744	-	P09871-P0C0L4-MDL-5jpm.pdb1-I-0-C-0.pdb	m2803	-25.4242068
P09913	P09914	1	0	Model	5udj	2	A	2	46.5	95.1	7	455	-	A	0	99.6	96.2	8	467	-	P09913-P09914-MDL-5udj.pdb2-A-2-A-0.pdb	m2804	-28.3891694
P0C0S5	P57053	1	0	Model	5z30	1	G	0	99.1	85.9	11	120	-	H	0	97.8	72.2	34	124	-	P0C0S5-P57053-MDL-5z30.pdb1-G-0-H-0.pdb	m2805	-233.11229
P0C0S5	P57053	3	0	Model	3waa	1	C	0	99.1	82.8	16	121	-	D	0	97.9	74.6	32	125	-	P0C0S5-P57053-MDL-3waa.pdb1-C-0-D-0.pdb	m2806	-229.617333
P0C0S5	P58876	1	0	Model	5z30	1	G	0	99.1	85.9	11	120	-	H	0	98.9	72.2	34	124	-	P0C0S5-P58876-MDL-5z30.pdb1-G-0-H-0.pdb	m2807	-242.661733
P0C0S5	P58876	3	0	Model	3waa	1	C	0	99.1	82.8	16	121	-	D	0	97.9	74.6	32	125	-	P0C0S5-P58876-MDL-3waa.pdb1-C-0-D-0.pdb	m2808	-233.984104
P0C0S5	Q16695	1	0	Model	5z30	1	G	0	99.1	85.9	11	120	-	A	0	96.9	70.6	39	134	-	P0C0S5-Q16695-MDL-5z30.pdb1-G-0-A-0.pdb	m2809	-47.5416111
P0C0S5	Q16695	2	0	Model	1f66	1	G	0	100.0	83.6	17	123	-	A	0	95.0	73.5	37	136	-	P0C0S5-Q16695-MDL-1f66.pdb1-G-0-A-0.pdb	m2810	-47.7466102
P0C0S5	Q5QNW6	1	0	Model	5z30	1	G	0	99.1	85.9	11	120	-	H	0	98.9	72.2	34	124	-	P0C0S5-Q5QNW6-MDL-5z30.pdb1-G-0-H-0.pdb	m2811	-242.661733
P0C0S5	Q5QNW6	3	0	Model	3waa	1	C	0	99.1	82.8	16	121	-	D	0	97.9	74.6	32	125	-	P0C0S5-Q5QNW6-MDL-3waa.pdb1-C-0-D-0.pdb	m2812	-233.984104
